4876,Rodica Arba-Pucatu,Female,22,18-25,179,75,ROU,1984,Rowing,Rowing Women's Coxless Pairs,Gold
4876,Rodica Arba-Pucatu,Female,26,25-30,179,75,ROU,1988,Rowing,Rowing Women's Coxless Pairs,Gold
4876,Rodica Arba-Pucatu,Female,26,25-30,179,75,ROU,1988,Rowing,Rowing Women's Coxed Eights,Silver
10450,Jan Berger,Male,24,18-25,178,73,TCH,1980,Football,Football Men's Football,Gold
10457,"Marcus ""Mark"" Berger",Male,30,25-30,185,116,CAN,1984,Judo,Judo Men's Heavyweight,Bronze
10461,Peter Berger,Male,22,18-25,196,104,FRG,1972,Rowing,Rowing Men's Coxed Fours,Gold
10464,"Samuel ""Sam"" Berger",Male,19,18-25,188,82,USA,1904,Boxing,Boxing Men's Heavyweight,Gold
10468,Tore Berger,Male,23,18-25,186,76,NOR,1968,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
10468,Tore Berger,Male,27,25-30,186,76,NOR,1972,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
12684,Jan D. Boersma,Male,19,18-25,,,AHO,1988,Sailing,Sailing Mixed Windsurfer,Silver
12686,"Andries Cornelis Dirk ""Andr"" Boerstra",Male,23,18-25,,,NED,1948,Hockey,Hockey Men's Hockey,Bronze
12686,"Andries Cornelis Dirk ""Andr"" Boerstra",Male,27,25-30,,,NED,1952,Hockey,Hockey Men's Hockey,Silver
12690,"Elmer Julius Boeseke, Jr.",Male,28,25-30,,,USA,1924,Polo,Polo Men's Polo,Silver
13758,Fernand Adrian Jean Bosmans,Male,24,18-25,,,BEL,1908,Fencing,"Fencing Men's epee, Team",Bronze
13762,Albert Bosquet,Male,,,,,BEL,1920,Shooting,"Shooting Men's Trap, Team",Silver
13763,Gilles Marcel Bosquet,Male,22,18-25,192,84,FRA,1996,Rowing,Rowing Men's Coxless Fours,Silver
